"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Isaac TeSlaa","DET","25.4","352.4","4.1","0.0","0.0","0.0","0.1","72.4"
"Ryan Flournoy","DAL","33.8","382.9","2.7","2.2","12.4","0.1","0.4","72.3"
"Bryce Lance","NO","34.1","451.4","1.9","1.0","5.0","0.0","1.1","72.2"
"Jalen Tolbert","MIA","35.4","442.7","1.7","0.0","0.0","0.0","0.3","71.7"
"Andrei Iosivas","CIN","29.5","373.0","2.7","2.5","11.0","0.0","0.1","69.6"
"Malachi Fields","NYG","32.5","405.4","2.2","0.0","0.0","0.0","0.3","69.2"
"Ted Hurst III","TB","28.9","389.8","2.6","1.0","6.5","0.0","0.6","68.2"
"Hollywood Brown","PHI","28.2","349.3","3.0","0.0","0.0","0.0","0.1","67.0"
"Malik Benson","LV","33.2","396.7","1.9","1.0","4.0","0.0","0.6","66.8"
"Elic Ayomanor","TEN","25.4","342.7","3.3","0.0","0.0","0.0","0.0","66.7"
"DeMario Douglas","NE","30.2","365.6","2.0","4.1","21.5","0.2","0.4","66.3"
"Chimere Dike","TEN","27.8","271.6","3.4","10.1","33.6","0.3","0.6","65.3"
"Zachariah Branch","ATL","31.4","381.7","1.9","0.0","0.0","0.0","0.3","64.6"
"Keon Coleman","BUF","24.4","337.9","2.8","0.0","0.0","0.0","0.2","62.5"
"Tank Dell","HOU","25.0","319.0","2.0","6.0","26.5","0.0","0.0","59.1"
"Joshua Palmer","BUF","26.9","355.2","1.7","0.0","0.0","0.0","0.1","59.0"
"Pat Bryant","DEN","28.4","320.2","2.1","0.0","0.0","0.0","0.3","58.3"
"Christian Kirk","SF","27.5","315.5","2.0","0.0","0.0","0.0","0.0","57.3"
"Ashton Dulin","IND","17.5","338.2","1.3","5.1","46.2","0.1","0.1","55.3"
"Marvin Mims Jr.","DEN","24.1","272.9","1.6","8.2","45.1","0.3","0.4","54.7"
"KaVontae Turpin","DAL","18.1","229.4","1.7","17.8","103.0","0.4","0.4","54.5"
"Kevin Coleman Jr.","MIA","27.1","352.4","0.9","0.0","0.0","0.0","0.3","53.4"
"Zavion Thomas","CHI","23.3","305.0","2.1","1.5","6.5","0.0","1.1","53.3"
"Darnell Mooney","NYG","21.5","308.3","1.7","2.2","11.9","0.1","0.2","52.8"
"Jack Bech","LV","27.7","315.0","1.2","0.0","0.0","0.0","0.3","51.9"
"Jahdae Walker","CHI","17.6","232.8","2.7","0.5","3.5","0.0","0.0","48.4"
"Demarcus Robinson","SF","19.3","272.9","1.8","0.5","2.5","0.0","0.0","47.9"
"Mack Hollins","NE","21.5","257.9","1.6","0.0","0.0","0.0","0.2","45.8"
"Cyrus Allen","KC","19.4","245.1","1.5","0.0","0.0","0.0","0.2","43.0"
"Kyle Williams","NE","16.1","232.4","1.4","4.1","22.4","0.2","0.2","42.7"
"Luke McCaffrey","WAS","14.4","220.6","2.3","0.0","0.0","0.0","0.0","42.7"
"Kendrick Bourne","ARI","22.8","239.1","0.7","0.0","0.0","0.0","0.2","38.8"
"Dyami Brown","WAS","15.9","216.7","1.6","0.0","0.0","0.0","0.2","38.7"
"Treylon Burks","WAS","15.0","217.5","1.4","0.0","0.0","0.0","0.1","37.2"
"Kalif Raymond","CHI","19.4","187.5","0.9","4.5","26.8","0.2","0.2","36.9"
"Devontez Walker","BAL","14.5","208.5","1.5","0.0","0.0","0.0","0.2","36.6"
